#OTU ID	BD0017v13	BD0027v13	BD0022v13	BD0040v13	BD0044v13	BD0057v13	BD0115v13	BD0190v13	BD0072v13	BD0112v13	BD0246v13	BD0247v13	BD0266v13	BD0235v13	BD0295v13	BD0255v13	BD0300v13	BD0331v13	BD0321v13	BD0351v13	BD0409v13	BD0410v13	BD0375v13	BD0414v13	BD0422v13	BD0464v13	BD0571v13	BD0578v13	BD0587v13	BD0592v13	BD0594v13	BD0610v13	BD0611v13	BD0613v13	BD0636v13	BD0616v13	BD0653v13	BD0643v13	BD0654v13	BD0673v13	BD0735v13	BD0760v13	BD0777v13	BD0758v13	BD0789v13	BD0791v13	BD0821v13	BD0786v13	BD0790v13	BD0913v13	BD0954v13	BD0981v13
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Odoribacter	0	108	19	77	9	141	169	15	9	0	14	15	20	5	17	45	23	0	2	0	10	6	0	14	107	0	3	49	82	75	66	12	2	0	23	25	20	13	9	14	11	13	13	45	3	25	0	2	0	2	2	5
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Parabacteroides	216	187	313	53	111	44	48	19	61	19	13	49	58	39	36	48	201	419	14	269	37	4	38	8	33	104	52	319	337	177	225	17	37	71	101	15	139	146	53	32	26	60	141	120	17	13	51	35	6	24	8	44
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__	0	0	0	0	0	0	85	0	0	0	0	0	0	0	29	0	181	0	0	0	0	0	0	49	0	248	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	57	42	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	117	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Hallella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Paraprevotella	0	0	220	221	112	57	132	8	0	0	111	89	69	172	13	40	426	0	0	584	6	28	0	1	1	169	21	0	0	0	297	41	264	1	39	79	87	0	49	0	81	61	0	211	0	1	5	35	32	0	8	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Prevotella	1	0	200	0	0	119	0	1958	0	0	0	0	0	0	1344	1309	0	0	1	1	17	434	2014	197	0	0	500	0	2	0	2	2	0	0	25	1478	0	2	1	0	1155	863	384	1783	3	210	130	0	0	0	374	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Xylanibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Rikenellaceae._.g__Alistipes	174	890	58	356	389	185	749	40	9	89	243	91	159	128	114	261	207	0	17	111	22	27	31	14	433	88	23	39	232	802	537	137	184	219	649	91	682	15	267	132	5	27	105	158	37	21	10	12	0	11	29	91
k__Bacteria._.p__Deinococcus-Thermus._.c__Deinococci._.o__Deinococcales._.f__Deinococcaceae._.g__Deinococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
