#OTU ID	BD0017v13	BD0027v13	BD0022v13	BD0040v13	BD0044v13	BD0057v13	BD0115v13	BD0190v13	BD0072v13	BD0112v13	BD0246v13	BD0247v13	BD0266v13	BD0235v13	BD0295v13	BD0255v13	BD0300v13	BD0331v13	BD0321v13	BD0351v13	BD0409v13	BD0410v13	BD0375v13	BD0414v13	BD0422v13	BD0464v13	BD0571v13	BD0578v13	BD0587v13	BD0592v13	BD0594v13	BD0610v13	BD0611v13	BD0613v13	BD0636v13	BD0616v13	BD0653v13	BD0643v13	BD0654v13	BD0673v13	BD0735v13	BD0760v13	BD0777v13	BD0758v13	BD0789v13	BD0791v13	BD0821v13	BD0786v13	BD0790v13	BD0913v13	BD0954v13	BD0981v13
denovo494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	14	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo497	0	0	0	0	0	6	0	0	0	0	6	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	10	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0
denovo496	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
denovo729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo728	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	2	8	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
denovo727	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	6	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
denovo726	0	0	0	0	0	0	0	0	0	1	0	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0
denovo725	0	4	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo724	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7
denovo723	1	0	0	1	0	3	0	4	0	2	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
denovo722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo721	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
denovo720	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0
denovo877	0	0	0	0	2	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
denovo876	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	1	0	0
denovo875	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
denovo874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo872	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
denovo871	0	0	2	0	4	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
denovo870	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo879	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
denovo878	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1079	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1078	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
